ts_event,open,high,low,close,volume
2025-01-07T00:00:00Z,21770.25,21806,21279.5,21392.25,634269
2025-01-08T00:00:00Z,21393.5,21448.25,21166.25,21315,624826
2025-01-09T00:00:00Z,21316.5,21347.25,21211.25,21237.5,81258
2025-01-10T00:00:00Z,21237,21372.5,20874.75,20997.75,684073
2025-01-12T00:00:00Z,21027.5,21027.75,20942.5,21001,8071
2025-01-13T00:00:00Z,20997,21088.5,20694,21046,606645
2025-01-14T00:00:00Z,21046.25,21143.75,20773.5,20948,660411
2025-01-15T00:00:00Z,20947.75,21452.75,20909,21415.25,543933
2025-01-16T00:00:00Z,21415.25,21567.25,21172.25,21235,586790
2025-01-17T00:00:00Z,21233.5,21682.5,21227,21589,575827
2025-01-19T00:00:00Z,21600,21618,21526.5,21545,7797
2025-01-20T00:00:00Z,21546,21778.75,21535.75,21730.5,153169
2025-01-21T00:00:00Z,21731.75,21820.25,21377.75,21810.25,500883
2025-01-22T00:00:00Z,21810.25,22093.5,21804.25,21965.5,484498
2025-01-23T00:00:00Z,21965.5,22050.5,21855.5,22010.25,465434
2025-01-24T00:00:00Z,22011.25,22078.25,21844,21907.75,515799
2025-01-26T00:00:00Z,21771,21771,21633,21665.75,22774
2025-01-27T00:00:00Z,21665.5,21673.25,20763.75,21326.75,1023716
2025-01-28T00:00:00Z,21327,21626,21159.5,21545.5,641720
2025-01-29T00:00:00Z,21546,21697,21367,21539,629671
2025-01-30T00:00:00Z,21538.5,21748.75,21419.5,21698,612137
2025-01-31T00:00:00Z,21698,21966,21533.75,21571,637602
2025-02-02T00:00:00Z,21200,21200,20943,21115,27093
2025-02-03T00:00:00Z,21114,21600,20976.5,21571.5,699597
2025-02-04T00:00:00Z,21571.25,21694,21242.5,21566.5,491207
2025-02-05T00:00:00Z,21568.25,21795,21429.75,21773,491066
2025-02-06T00:00:00Z,21772.25,21882.25,21705.75,21854,436822
2025-02-07T00:00:00Z,21853,21968,21552.75,21575.25,587334
2025-02-09T00:00:00Z,21463.25,21657,21418,21644.75,11954
2025-02-10T00:00:00Z,21645.25,21894,21642.25,21795.75,379067
2025-02-11T00:00:00Z,21796,21871.5,21669.5,21810.5,417899
2025-02-12T00:00:00Z,21810.5,21898.5,21510.75,21888.25,540861
2025-02-13T00:00:00Z,21888,22124,21753,22083,530632
2025-02-14T00:00:00Z,22084.75,22225,22042.5,22203.5,423034
2025-02-16T00:00:00Z,22235.75,22237.75,22196.25,22211.5,12834
2025-02-17T00:00:00Z,22211.25,22281.75,22192.5,22220.5,92562
2025-02-18T00:00:00Z,22220,22319.75,22102.75,22250,457782
2025-02-19T00:00:00Z,22250.5,22299.75,22118,22217.75,491966
2025-02-20T00:00:00Z,22217.75,22230,21951,22161.5,555486
2025-02-21T00:00:00Z,22161,22245.5,21652.75,21660,693510
2025-02-23T00:00:00Z,21700.75,21774.5,21676.75,21758,11452
2025-02-24T00:00:00Z,21758.25,21813,21366.5,21385.25,656376
2025-02-25T00:00:00Z,21385.5,21453.75,20990,21225.75,786119
2025-02-26T00:00:00Z,21225,21409.25,21055,21213.25,645824
2025-02-27T00:00:00Z,21213.25,21386.5,20583.25,20673.75,848293
2025-02-28T00:00:00Z,20672.5,20944.25,20460.5,20909,820338
2025-03-02T00:00:00Z,21005.25,21036.25,20949,20968.5,14083
2025-03-03T00:00:00Z,20969.5,21121,20316.75,20515.75,826857
2025-03-04T00:00:00Z,20514.75,20732.5,20075.25,20578,935086
2025-03-05T00:00:00Z,20579.5,20725,20215,20605,770560
2025-03-06T00:00:00Z,20604.5,20647.5,20003,20187,752428
2025-03-07T00:00:00Z,20187.5,20286.25,19765.5,20207.25,745221
2025-03-09T00:00:00Z,20147.0,20147.0,19932.25,20034.5,19506
2025-03-10T00:00:00Z,20033.25,20156.5,19229.25,19304.25,781592
2025-03-11T00:00:00Z,19306.5,19686.75,19139.25,19476.75,824532
2025-03-12T00:00:00Z,19478.0,19788.75,19387.0,19685.25,682654
2025-03-13T00:00:00Z,19683.75,19694.0,19170.0,19356.25,732341
2025-03-14T00:00:00Z,19358.25,19742.5,19335.0,19667.5,672722
2025-03-16T00:00:00Z,19668.25,19686.25,19550.5,19584.0,15107
2025-03-17T00:00:00Z,19586.0,19959.25,19554.75,19820.75,389904
2025-03-18T00:00:00Z,19821.5,19828.75,19397.75,19504.25,242036
2025-03-19T00:00:00Z,19504.25,19935.0,19455.5,19823.5,142403
2025-03-20T00:00:00Z,20031.5,20105.0,19735.25,19886.25,568330
2025-03-21T00:00:00Z,19885.75,19977.5,19602.25,19970.75,585800
2025-03-23T00:00:00Z,20050.5,20114.25,20050.5,20107.5,24416
2025-03-24T00:00:00Z,20109.75,20409.5,20096.0,20355.0,528609
2025-03-25T00:00:00Z,20354.75,20534.0,20293.0,20523.5,466387
2025-03-26T00:00:00Z,20524.0,20536.75,20003.25,20059.75,623927
