ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2017-07-09 00:00:00+00:00,35,1,33094,1414.0,1414.0,1412.0,1414.0,8,RTY.v.0
2017-07-10 00:00:00+00:00,35,1,33094,1414.9,1419.3,1403.7,1408.5,2558,RTY.v.0
2017-07-11 00:00:00+00:00,35,1,33094,1409.7,1414.1,1400.0,1413.5,4835,RTY.v.0
2017-07-12 00:00:00+00:00,35,1,33094,1413.7,1432.8,1411.6,1422.9,5997,RTY.v.0
2017-07-13 00:00:00+00:00,35,1,33094,1422.8,1426.0,1413.8,1425.7,4175,RTY.v.0
2017-07-14 00:00:00+00:00,35,1,33094,1424.9,1433.3,1420.8,1428.3,4893,RTY.v.0
2017-07-16 00:00:00+00:00,35,1,33094,1429.1,1429.4,1428.9,1428.9,7,RTY.v.0
2017-07-17 00:00:00+00:00,35,1,33094,1428.5,1434.6,1422.4,1431.0,4882,RTY.v.0
2017-07-18 00:00:00+00:00,35,1,33094,1429.5,1431.8,1420.3,1425.3,5461,RTY.v.0
2017-07-19 00:00:00+00:00,35,1,33094,1426.2,1443.0,1425.6,1441.2,8019,RTY.v.0
2017-07-20 00:00:00+00:00,35,1,33094,1440.7,1445.5,1438.5,1441.9,8955,RTY.v.0
2017-07-21 00:00:00+00:00,35,1,33094,1442.8,1444.5,1432.3,1434.5,7991,RTY.v.0
2017-07-23 00:00:00+00:00,35,1,33094,1434.9,1435.4,1433.3,1433.3,25,RTY.v.0
2017-07-24 00:00:00+00:00,35,1,33094,1433.0,1438.0,1427.9,1437.0,6800,RTY.v.0
2017-07-25 00:00:00+00:00,35,1,33094,1436.6,1452.3,1436.2,1450.7,10877,RTY.v.0
2017-07-26 00:00:00+00:00,35,1,33094,1450.7,1452.2,1439.8,1443.6,10663,RTY.v.0
2017-07-27 00:00:00+00:00,35,1,33094,1443.9,1447.0,1424.7,1430.2,22221,RTY.v.0
2017-07-28 00:00:00+00:00,35,1,33094,1430.0,1432.9,1424.1,1429.2,12762,RTY.v.0
