ts_event,close,open,high,low,change
2014-01-02T00:00:00,2.991,3.038,3.041,2.978,-1.17
2014-01-03T00:00:00,2.998,2.984,3.012,2.969,0.23
2014-01-06T00:00:00,2.958,3.013,3.013,2.947,-1.33
2014-01-07T00:00:00,2.941,2.961,2.967,2.937,-0.57
2014-01-08T00:00:00,2.991,2.945,3.01,2.945,1.7
2014-01-09T00:00:00,2.969,2.987,3.001,2.96,-0.74
2014-01-10T00:00:00,2.86,2.973,2.974,2.856,-3.67
2014-01-13T00:00:00,2.829,2.864,2.865,2.819,-1.08
2014-01-14T00:00:00,2.873,2.836,2.875,2.829,1.56
2014-01-15T00:00:00,2.893,2.875,2.912,2.86,0.7
2014-01-16T00:00:00,2.841,2.893,2.893,2.838,-1.8
2014-01-17T00:00:00,2.821,2.845,2.86,2.818,-0.7
2014-01-20T00:00:00,2.829,2.829,2.829,2.827,0.27
2014-01-21T00:00:00,2.832,2.827,2.867,2.819,0.12
2014-01-22T00:00:00,2.867,2.83,2.867,2.829,1.24
2014-01-23T00:00:00,2.779,2.871,2.873,2.759,-3.07
2014-01-24T00:00:00,2.719,2.781,2.788,2.706,-2.16
2014-01-27T00:00:00,2.75,2.715,2.768,2.71,1.14
2014-01-28T00:00:00,2.752,2.753,2.785,2.739,0.07
2014-01-29T00:00:00,2.679,2.775,2.79,2.662,-2.65
2014-01-30T00:00:00,2.697,2.688,2.726,2.675,0.67
2014-01-31T00:00:00,2.644,2.699,2.71,2.646,-1.97
2014-02-03T00:00:00,2.577,2.666,2.68,2.57,-2.53
2014-02-04T00:00:00,2.631,2.586,2.635,2.575,2.1
2014-02-05T00:00:00,2.669,2.629,2.675,2.599,1.44
2014-02-06T00:00:00,2.702,2.669,2.709,2.658,1.24
2014-02-07T00:00:00,2.684,2.7,2.726,2.633,-0.67
2014-02-10T00:00:00,2.669,2.684,2.695,2.664,-0.56
2014-02-11T00:00:00,2.726,2.682,2.733,2.682,2.14
2014-02-12T00:00:00,2.763,2.72,2.777,2.715,1.36
2014-02-13T00:00:00,2.734,2.786,2.786,2.727,-1.05
2014-02-14T00:00:00,2.745,2.739,2.755,2.711,0.4
2014-02-17T00:00:00,2.748,2.752,2.752,2.748,0.12
2014-02-18T00:00:00,2.709,2.75,2.763,2.696,-1.43
2014-02-19T00:00:00,2.739,2.707,2.743,2.675,1.11
2014-02-20T00:00:00,2.752,2.734,2.773,2.698,0.47
2014-02-21T00:00:00,2.732,2.755,2.781,2.73,-0.73
2014-02-24T00:00:00,2.741,2.736,2.763,2.721,0.33
2014-02-25T00:00:00,2.703,2.744,2.748,2.698,-1.39
2014-02-26T00:00:00,2.666,2.707,2.719,2.662,-1.37
2014-02-27T00:00:00,2.639,2.673,2.678,2.635,-1.01
2014-02-28T00:00:00,2.649,2.646,2.698,2.633,0.38
2014-03-03T00:00:00,2.603,2.61,2.635,2.592,-1.74
2014-03-04T00:00:00,2.701,2.605,2.703,2.603,3.76
2014-03-05T00:00:00,2.708,2.692,2.719,2.68,0.26
2014-03-06T00:00:00,2.739,2.703,2.748,2.698,1.14
2014-03-07T00:00:00,2.79,2.744,2.821,2.721,1.86
2014-03-10T00:00:00,2.779,2.79,2.804,2.764,-0.39
2014-03-11T00:00:00,2.77,2.783,2.799,2.763,-0.32
2014-03-12T00:00:00,2.732,2.77,2.773,2.714,-1.37
2014-03-13T00:00:00,2.645,2.734,2.755,2.642,-3.18
2014-03-14T00:00:00,2.656,2.647,2.667,2.61,0.42
2014-03-17T00:00:00,2.694,2.642,2.699,2.638,1.43
2014-03-18T00:00:00,2.674,2.694,2.701,2.661,-0.74
2014-03-19T00:00:00,2.773,2.674,2.793,2.661,3.7
2014-03-20T00:00:00,2.773,2.768,2.793,2.743,0.0
2014-03-21T00:00:00,2.746,2.766,2.784,2.741,-0.97
2014-03-24T00:00:00,2.73,2.757,2.783,2.721,-0.58
2014-03-25T00:00:00,2.75,2.735,2.763,2.721,0.73
2014-03-26T00:00:00,2.694,2.75,2.763,2.685,-2.04
2014-03-27T00:00:00,2.683,2.695,2.714,2.659,-0.41
2014-03-28T00:00:00,2.723,2.685,2.734,2.67,1.49
2014-03-31T00:00:00,2.719,2.724,2.768,2.719,-0.15
2014-04-01T00:00:00,2.755,2.726,2.766,2.724,1.32
2014-04-02T00:00:00,2.806,2.757,2.81,2.755,1.85
2014-04-03T00:00:00,2.801,2.806,2.806,2.777,-0.18
2014-04-04T00:00:00,2.726,2.799,2.801,2.721,-2.68
2014-04-07T00:00:00,2.701,2.723,2.735,2.683,-0.92
2014-04-08T00:00:00,2.683,2.708,2.721,2.674,-0.67
2014-04-09T00:00:00,2.693,2.684,2.723,2.674,0.37
2014-04-10T00:00:00,2.647,2.695,2.703,2.614,-1.71
2014-04-11T00:00:00,2.628,2.641,2.657,2.607,-0.72
2014-04-14T00:00:00,2.65,2.603,2.657,2.603,0.84
2014-04-15T00:00:00,2.63,2.646,2.663,2.596,-0.75
2014-04-16T00:00:00,2.635,2.626,2.661,2.625,0.19
2014-04-17T00:00:00,2.721,2.632,2.726,2.623,3.26
2014-04-21T00:00:00,2.715,2.719,2.733,2.688,-0.22
2014-04-22T00:00:00,2.711,2.717,2.748,2.699,-0.15
2014-04-23T00:00:00,2.693,2.717,2.722,2.677,-0.66
2014-04-24T00:00:00,2.682,2.702,2.733,2.681,-0.41
2014-04-25T00:00:00,2.666,2.686,2.69,2.644,-0.6
2014-04-28T00:00:00,2.708,2.675,2.71,2.668,1.58
2014-04-29T00:00:00,2.697,2.708,2.731,2.688,-0.41
2014-04-30T00:00:00,2.646,2.691,2.717,2.644,-1.89
2014-05-01T00:00:00,2.613,2.659,2.662,2.593,-1.25
2014-05-02T00:00:00,2.586,2.615,2.7,2.573,-1.03
2014-05-05T00:00:00,2.606,2.575,2.613,2.572,0.77
2014-05-06T00:00:00,2.593,2.606,2.626,2.586,-0.5
2014-05-07T00:00:00,2.59,2.599,2.617,2.577,-0.12
2014-05-08T00:00:00,2.611,2.623,2.634,2.58,0.81
2014-05-09T00:00:00,2.623,2.611,2.636,2.591,0.46
2014-05-12T00:00:00,2.661,2.631,2.665,2.631,1.45
2014-05-13T00:00:00,2.611,2.661,2.661,2.607,-1.88
2014-05-14T00:00:00,2.548,2.616,2.62,2.525,-2.41
2014-05-15T00:00:00,2.496,2.543,2.562,2.473,-2.04
2014-05-16T00:00:00,2.523,2.495,2.527,2.489,1.08
2014-05-19T00:00:00,2.545,2.521,2.546,2.495,0.87
2014-05-20T00:00:00,2.514,2.543,2.553,2.502,-1.22
2014-05-21T00:00:00,2.534,2.509,2.561,2.5,0.8
2014-05-22T00:00:00,2.554,2.543,2.568,2.534,0.79
2014-05-23T00:00:00,2.536,2.552,2.557,2.518,-0.7
2014-05-26T00:00:00,2.541,2.543,2.545,2.541,0.2
2014-05-27T00:00:00,2.518,2.539,2.553,2.512,-0.91
2014-05-28T00:00:00,2.445,2.514,2.516,2.434,-2.9
2014-05-29T00:00:00,2.47,2.448,2.47,2.402,1.02
2014-05-30T00:00:00,2.475,2.466,2.491,2.452,0.2
2014-06-02T00:00:00,2.527,2.484,2.541,2.475,2.1
2014-06-03T00:00:00,2.599,2.529,2.6,2.518,2.85
2014-06-04T00:00:00,2.606,2.595,2.615,2.568,0.27
2014-06-05T00:00:00,2.584,2.597,2.647,2.57,-0.84
2014-06-06T00:00:00,2.597,2.582,2.602,2.53,0.5
2014-06-09T00:00:00,2.608,2.595,2.628,2.595,0.42
2014-06-10T00:00:00,2.64,2.602,2.651,2.59,1.23
2014-06-11T00:00:00,2.64,2.653,2.662,2.613,0.0
2014-06-12T00:00:00,2.597,2.644,2.658,2.575,-1.63
2014-06-13T00:00:00,2.608,2.606,2.644,2.586,0.42
2014-06-16T00:00:00,2.597,2.602,2.613,2.577,-0.42
2014-06-17T00:00:00,2.653,2.601,2.657,2.588,2.16
2014-06-18T00:00:00,2.59,2.659,2.66,2.586,-2.37
2014-06-19T00:00:00,2.621,2.59,2.646,2.565,1.2
2014-06-20T00:00:00,2.608,2.622,2.659,2.606,-0.5
2014-06-23T00:00:00,2.626,2.612,2.63,2.59,0.69
2014-06-24T00:00:00,2.577,2.619,2.621,2.575,-1.87
2014-06-25T00:00:00,2.561,2.577,2.588,2.529,-0.62
2014-06-26T00:00:00,2.532,2.561,2.568,2.516,-1.13
2014-06-27T00:00:00,2.536,2.527,2.536,2.507,0.16
2014-06-30T00:00:00,2.532,2.529,2.548,2.514,-0.16
2014-07-01T00:00:00,2.567,2.53,2.57,2.521,1.38
2014-07-02T00:00:00,2.628,2.568,2.63,2.548,2.38
2014-07-03T00:00:00,2.641,2.625,2.692,2.615,0.49
2014-07-07T00:00:00,2.614,2.656,2.661,2.608,-1.02
2014-07-08T00:00:00,2.559,2.616,2.621,2.554,-2.1
2014-07-09T00:00:00,2.556,2.559,2.603,2.543,-0.12
2014-07-10T00:00:00,2.538,2.558,2.558,2.494,-0.7
2014-07-11T00:00:00,2.516,2.536,2.547,2.505,-0.87
2014-07-12T00:00:00,2.516,2.516,2.516,2.516,0.0
2014-07-14T00:00:00,2.547,2.525,2.55,2.518,1.23
2014-07-15T00:00:00,2.552,2.547,2.57,2.52,0.2
2014-07-16T00:00:00,2.53,2.547,2.569,2.527,-0.86
2014-07-17T00:00:00,2.442,2.525,2.527,2.441,-3.48
2014-07-18T00:00:00,2.482,2.451,2.502,2.448,1.64
2014-07-21T00:00:00,2.469,2.482,2.491,2.448,-0.52
2014-07-22T00:00:00,2.466,2.473,2.505,2.46,-0.12
2014-07-23T00:00:00,2.469,2.467,2.478,2.449,0.12
2014-07-24T00:00:00,2.502,2.469,2.522,2.458,1.34
2014-07-25T00:00:00,2.467,2.503,2.52,2.464,-1.4
2014-07-28T00:00:00,2.487,2.471,2.496,2.466,0.81
2014-07-29T00:00:00,2.462,2.491,2.498,2.451,-1.01
2014-07-30T00:00:00,2.56,2.46,2.569,2.458,3.98
2014-07-31T00:00:00,2.562,2.558,2.614,2.538,0.08
2014-08-01T00:00:00,2.494,2.562,2.591,2.482,-2.65
2014-08-02T00:00:00,2.494,2.494,2.494,2.494,0.0
2014-08-04T00:00:00,2.485,2.502,2.513,2.471,-0.37
2014-08-05T00:00:00,2.489,2.487,2.525,2.473,0.16
2014-08-06T00:00:00,2.469,2.487,2.489,2.433,-0.8
2014-08-07T00:00:00,2.409,2.471,2.482,2.408,-2.43
2014-08-08T00:00:00,2.422,2.42,2.426,2.349,0.54
2014-08-11T00:00:00,2.429,2.431,2.44,2.411,0.29
2014-08-12T00:00:00,2.449,2.431,2.451,2.415,0.82
2014-08-13T00:00:00,2.42,2.458,2.471,2.408,-1.18
2014-08-14T00:00:00,2.403,2.43,2.442,2.391,-0.7
2014-08-15T00:00:00,2.341,2.407,2.412,2.303,-2.58
2014-08-18T00:00:00,2.394,2.356,2.398,2.352,2.26
2014-08-19T00:00:00,2.403,2.396,2.407,2.361,0.38
2014-08-20T00:00:00,2.428,2.401,2.446,2.398,1.04
2014-08-21T00:00:00,2.409,2.434,2.448,2.398,-0.78
2014-08-22T00:00:00,2.403,2.41,2.444,2.378,-0.25
2014-08-25T00:00:00,2.384,2.41,2.432,2.377,-0.79
2014-08-26T00:00:00,2.398,2.384,2.4,2.368,0.59
2014-08-27T00:00:00,2.361,2.393,2.394,2.357,-1.54
2014-08-28T00:00:00,2.338,2.357,2.357,2.322,-0.97
2014-08-29T00:00:00,2.345,2.343,2.354,2.325,0.3
2014-09-01T00:00:00,2.359,2.345,2.359,2.345,0.6
2014-09-02T00:00:00,2.423,2.357,2.425,2.354,2.71
2014-09-03T00:00:00,2.398,2.419,2.467,2.396,-1.03
2014-09-04T00:00:00,2.453,2.403,2.457,2.382,2.29
2014-09-05T00:00:00,2.459,2.468,2.487,2.387,0.24
2014-09-08T00:00:00,2.471,2.45,2.48,2.421,0.49
2014-09-09T00:00:00,2.502,2.48,2.509,2.478,1.25
2014-09-10T00:00:00,2.543,2.5,2.543,2.493,1.64
2014-09-11T00:00:00,2.55,2.532,2.554,2.507,0.28
2014-09-12T00:00:00,2.609,2.547,2.616,2.545,2.31
2014-09-13T00:00:00,2.609,2.609,2.609,2.609,0.0
2014-09-15T00:00:00,2.591,2.612,2.651,2.582,-0.68
2014-09-16T00:00:00,2.594,2.591,2.596,2.553,0.12
2014-09-17T00:00:00,2.622,2.591,2.625,2.547,1.08
2014-09-18T00:00:00,2.618,2.629,2.642,2.594,-0.15
2014-09-19T00:00:00,2.578,2.629,2.655,2.575,-1.53
2014-09-22T00:00:00,2.566,2.569,2.578,2.547,-0.47
2014-09-23T00:00:00,2.527,2.556,2.556,2.527,-1.52
2014-09-24T00:00:00,2.566,2.531,2.569,2.527,1.54
2014-09-25T00:00:00,2.504,2.567,2.571,2.502,-2.42
2014-09-26T00:00:00,2.528,2.506,2.549,2.49,0.96
2014-09-27T00:00:00,2.528,2.528,2.528,2.528,0.0
2014-09-29T00:00:00,2.479,2.524,2.54,2.479,-1.92
2014-09-30T00:00:00,2.495,2.479,2.524,2.479,0.65
2014-10-01T00:00:00,2.389,2.5,2.508,2.384,-4.25
2014-10-02T00:00:00,2.436,2.387,2.439,2.384,1.97
2014-10-03T00:00:00,2.436,2.436,2.484,2.429,0.0
2014-10-06T00:00:00,2.42,2.439,2.452,2.404,-0.66
2014-10-07T00:00:00,2.341,2.421,2.43,2.337,-3.26
2014-10-08T00:00:00,2.318,2.352,2.386,2.311,-0.98
2014-10-09T00:00:00,2.327,2.33,2.345,2.279,0.39
2014-10-10T00:00:00,2.286,2.316,2.348,2.28,-1.76
