Year,01,02,03,04,05,06,07,08,09,10,11,12
1913,0.032322500985836736,0.032322500985836736,0.032322500985836736,0.032322500985836736,0.0,0.032322500985836736,0.0646450019716729,0.0646450019716729,0.09696750295750907,0.09696750295750907,0.12929000394334525,0.09696750295750907
1914,0.09696750295750907,0.0646450019716729,0.0646450019716729,0.032322500985836736,0.0646450019716729,0.0646450019716729,0.09696750295750907,0.16161250492918142,0.16161250492918142,0.12929000394334525,0.16161250492918142,0.12929000394334525
1915,0.12929000394334525,0.09696750295750907,0.0646450019716729,0.09696750295750907,0.12929000394334525,0.12929000394334525,0.12929000394334525,0.12929000394334525,0.12929000394334525,0.16161250492918142,0.19393500591501814,0.19393500591501814
1916,0.2262575069008543,0.2262575069008543,0.2585800078866905,0.2909025088725266,0.32322500985836283,0.3555475108441995,0.3555475108441995,0.3878700118300357,0.452515013801708,0.517160015773381,0.5818050177450532,0.6141275187308894
1917,0.6464500197167257,0.7434175226742347,0.7434175226742347,0.9373525285892522,1.0019975305609252,1.0666425325325974,1.0019975305609252,1.0666425325325974,1.1636100354901064,1.2282550374617789,1.2282550374617789,1.2929000394334513
1918,1.3898675423909603,1.4221900433767964,1.3898675423909603,1.4545125443626326,1.5514800473201416,1.616125049291814,1.745415053235159,1.8423825561926683,1.9393500591501769,2.0363175621076857,2.133285065065195,2.1979300670368676
1919,2.1979300670368676,2.1009625640793583,2.1656075660510306,2.2625750690085393,2.327220070980212,2.327220070980212,2.4888325759093934,2.5858000788669027,2.618122579852739,2.715090082810248,2.844380086753593,2.9736700906969378
1920,3.102960094640283,3.1676050966119558,3.232250098583628,3.426185104498646,3.523152607456155,3.620120110413663,3.587797609427827,3.426185104498646,3.329217601541137,3.2968951005553007,3.2645725995694646,3.1352825956261188
1921,3.0059925916827743,2.812057585767756,2.7797350847819207,2.715090082810248,2.5858000788669027,2.553477577881067,2.5858000788669027,2.5858000788669027,2.52115507689523,2.52115507689523,2.4888325759093934,2.4565100749235578
1922,2.327220070980212,2.327220070980212,2.2625750690085393,2.2625750690085393,2.2625750690085393,2.2625750690085393,2.2948975699943763,2.230252568022704,2.230252568022704,2.2625750690085393,2.2948975699943763,2.327220070980212
1923,2.2948975699943763,2.2948975699943763,2.2948975699943763,2.327220070980212,2.327220070980212,2.3595425719660486,2.4241875739377208,2.3918650729518856,2.4241875739377208,2.4565100749235578,2.4565100749235578,2.4565100749235578
1924,2.4565100749235578,2.4241875739377208,2.3918650729518856,2.3595425719660486,2.3595425719660486,2.3595425719660486,2.3918650729518856,2.3595425719660486,2.3918650729518856,2.4241875739377208,2.4241875739377208,2.4565100749235578
1925,2.4565100749235578,2.4241875739377208,2.4565100749235578,2.4241875739377208,2.4565100749235578,2.52115507689523,2.5858000788669027,2.5858000788669027,2.5858000788669027,2.5858000788669027,2.6827675818244114,2.6504450808385744
1926,2.6504450808385744,2.6504450808385744,2.618122579852739,2.6504450808385744,2.618122579852739,2.5858000788669027,2.52115507689523,2.4888325759093934,2.52115507689523,2.553477577881067,2.5858000788669027,2.5858000788669027
1927,2.52115507689523,2.4888325759093934,2.4565100749235578,2.4565100749235578,2.4888325759093934,2.553477577881067,2.4565100749235578,2.4241875739377208,2.4565100749235578,2.4888325759093934,2.4565100749235578,2.4565100749235578
1928,2.4565100749235578,2.3918650729518856,2.3918650729518856,2.3918650729518856,2.4241875739377208,2.3918650729518856,2.3918650729518856,2.3918650729518856,2.4565100749235578,2.4241875739377208,2.4241875739377208,2.3918650729518856
1929,2.3918650729518856,2.3918650729518856,2.3595425719660486,2.327220070980212,2.3595425719660486,2.3918650729518856,2.4565100749235578,2.4565100749235578,2.4565100749235578,2.4565100749235578,2.4565100749235578,2.4241875739377208
1930,2.3918650729518856,2.3595425719660486,2.327220070980212,2.3595425719660486,2.327220070980212,2.2948975699943763,2.230252568022704,2.1979300670368676,2.230252568022704,2.1979300670368676,2.1656075660510306,2.0686400630935227
1931,2.0039950611218496,1.9393500591501769,1.9070275581643406,1.8747050571785044,1.810060055206832,1.745415053235159,1.745415053235159,1.745415053235159,1.713092552249323,1.680770051263487,1.616125049291814,1.5838025483059779
1932,1.4868350453484693,1.4221900433767964,1.3898675423909603,1.357545041405124,1.2929000394334513,1.260577538447615,1.260577538447615,1.2282550374617789,1.1959325364759428,1.1636100354901064,1.1312875345042697,1.0989650335184338
1933,1.0343200315467613,0.9696750295750884,0.9373525285892522,0.9373525285892522,0.9373525285892522,0.9696750295750884,1.0989650335184338,1.1312875345042697,1.1312875345042697,1.1312875345042697,1.1312875345042697,1.1312875345042697
1934,1.1312875345042697,1.1636100354901064,1.1636100354901064,1.1636100354901064,1.1636100354901064,1.1959325364759428,1.1959325364759428,1.1959325364759428,1.260577538447615,1.2282550374617789,1.2282550374617789,1.1959325364759428
1935,1.260577538447615,1.2929000394334513,1.2929000394334513,1.325222540419288,1.325222540419288,1.2929000394334513,1.2929000394334513,1.2929000394334513,1.2929000394334513,1.2929000394334513,1.325222540419288,1.325222540419288
1936,1.325222540419288,1.325222540419288,1.2929000394334513,1.2929000394334513,1.2929000394334513,1.325222540419288,1.357545041405124,1.3898675423909603,1.3898675423909603,1.3898675423909603,1.3898675423909603,1.3898675423909603
1937,1.4221900433767964,1.4221900433767964,1.4545125443626326,1.4868350453484693,1.5191575463343054,1.5191575463343054,1.5514800473201416,1.5514800473201416,1.5838025483059779,1.5838025483059779,1.5514800473201416,1.5191575463343054
1938,1.4545125443626326,1.4221900433767964,1.4221900433767964,1.4545125443626326,1.4221900433767964,1.4221900433767964,1.4221900433767964,1.4221900433767964,1.4221900433767964,1.3898675423909603,1.3898675423909603,1.3898675423909603
1939,1.3898675423909603,1.357545041405124,1.357545041405124,1.325222540419288,1.325222540419288,1.325222540419288,1.325222540419288,1.325222540419288,1.4221900433767964,1.3898675423909603,1.3898675423909603,1.3898675423909603
1940,1.357545041405124,1.3898675423909603,1.3898675423909603,1.3898675423909603,1.3898675423909603,1.4221900433767964,1.3898675423909603,1.3898675423909603,1.3898675423909603,1.3898675423909603,1.3898675423909603,1.4221900433767964
1941,1.4221900433767964,1.4221900433767964,1.4545125443626326,1.4868350453484693,1.5191575463343054,1.616125049291814,1.616125049291814,1.680770051263487,1.745415053235159,1.810060055206832,1.8423825561926683,1.8747050571785044
1942,1.9393500591501769,1.9716725601360137,2.0363175621076857,2.0686400630935227,2.133285065065195,2.133285065065195,2.1656075660510306,2.1979300670368676,2.1979300670368676,2.2625750690085393,2.2948975699943763,2.327220070980212
