month,day,year,time,actual,forecast,previous,datetime
Jul,30,2025, 17:30,7.698,-2.3,-3.169,2025-07-30 17:30:00
Jul,23,2025, 17:30,-3.169,-1.4,-3.859,2025-07-23 17:30:00
Jul,16,2025, 17:30,-3.859,-1.8,7.07,2025-07-16 17:30:00
Jul,9,2025, 17:30,7.07,-1.7,3.845,2025-07-09 17:30:00
Jul,2,2025, 17:30,3.845,-3.5,-5.836,2025-07-02 17:30:00
Jun,25,2025, 17:30,-5.836,-1.2,-11.473,2025-06-25 17:30:00
Jun,18,2025, 17:30,-11.473,-2.3,-3.644,2025-06-18 17:30:00
Jun,11,2025, 17:30,-3.644,-2.4,-4.304,2025-06-11 17:30:00
Jun,4,2025, 17:30,-4.304,-2.9,-2.795,2025-06-04 17:30:00
May,29,2025, 19:00,-2.795,1.0,1.328,2025-05-29 19:00:00
May,21,2025, 17:30,1.328,-0.9,3.454,2025-05-21 17:30:00
May,14,2025, 17:30,3.454,-2.0,-2.032,2025-05-14 17:30:00
May,7,2025, 17:30,-2.032,-1.7,-2.696,2025-05-07 17:30:00
Apr,30,2025, 17:30,-2.696,0.39,0.244,2025-04-30 17:30:00
Apr,23,2025, 17:30,0.244,-0.7,0.515,2025-04-23 17:30:00
Apr,16,2025, 17:30,0.515,0.4,2.553,2025-04-16 17:30:00
Apr,9,2025, 17:30,2.553,2.2,6.165,2025-04-09 17:30:00
Apr,2,2025, 17:30,6.165,-0.2,-3.341,2025-04-02 17:30:00
Mar,26,2025, 17:30,-3.341,1.5,1.745,2025-03-26 17:30:00
Mar,19,2025, 16:30,1.745,0.8,1.448,2025-03-19 16:30:00
Mar,12,2025, 16:30,1.448,2.1,3.614,2025-03-12 16:30:00
Mar,5,2025, 18:30,3.614,0.6,-2.332,2025-03-05 18:30:00
Feb,26,2025, 18:00,-2.332,2.5,4.633,2025-02-26 18:00:00
Feb,20,2025, 20:00,4.633,3.2,4.07,2025-02-20 20:00:00
Feb,12,2025, 18:30,4.07,2.4,8.664,2025-02-12 18:30:00
Feb,5,2025, 18:30,8.664,2.4,3.463,2025-02-05 18:30:00
Jan,29,2025, 18:30,3.463,2.2,-1.017,2025-01-29 18:30:00
Jan,23,2025, 20:00,-1.017,-2.1,-1.962,2025-01-23 20:00:00
Jan,15,2025, 18:30,-1.962,-3.5,-0.959,2025-01-15 18:30:00
Jan,8,2025, 18:30,-0.959,-1.8,-1.178,2025-01-08 18:30:00
Jan,2,2025, 19:00,-1.178,-2.4,-4.237,2025-01-02 19:00:00
Dec,27,2024, 21:00,-4.237,-0.7,-0.934,2024-12-27 21:00:00
Dec,18,2024, 18:30,-0.934,-1.6,-1.425,2024-12-18 18:30:00
Dec,11,2024, 18:30,-1.425,-1.0,-5.073,2024-12-11 18:30:00
Dec,4,2024, 18:30,-5.073,-1.6,-1.844,2024-12-04 18:30:00
Nov,27,2024, 18:30,-1.844,-1.3,0.545,2024-11-27 18:30:00
Nov,20,2024, 18:30,0.545,0.4,2.089,2024-11-20 18:30:00
Nov,14,2024, 19:00,2.089,0.4,2.149,2024-11-14 19:00:00
Nov,6,2024, 18:30,2.149,0.3,-0.515,2024-11-06 18:30:00
Oct,30,2024, 17:30,-0.515,1.5,5.474,2024-10-30 17:30:00
Oct,23,2024, 17:30,5.474,0.8,-2.191,2024-10-23 17:30:00
Oct,17,2024, 18:00,-2.191,1.8,5.81,2024-10-17 18:00:00
Oct,9,2024, 17:30,5.81,2.0,3.889,2024-10-09 17:30:00
Oct,2,2024, 17:30,3.889,-1.5,-4.471,2024-10-02 17:30:00
Sep,25,2024, 17:30,-4.471,-1.3,-1.63,2024-09-25 17:30:00
Sep,18,2024, 17:30,-1.63,-0.2,0.833,2024-09-18 17:30:00
Sep,11,2024, 17:30,0.833,0.9,-6.873,2024-09-11 17:30:00
Sep,5,2024, 18:00,-6.873,-0.6,-0.846,2024-09-05 18:00:00
Aug,28,2024, 17:30,-0.846,-2.7,-4.649,2024-08-28 17:30:00
Aug,21,2024, 17:30,-4.649,-2.0,1.357,2024-08-21 17:30:00
Aug,14,2024, 17:30,1.357,-1.9,-3.728,2024-08-14 17:30:00
Aug,7,2024, 17:30,-3.728,-1.6,-3.436,2024-08-07 17:30:00
