ts_event,Underlying,Product_Type,Exchange,volume
2014/01/02,QQQ,S,CBOE,47520
2014/01/03,QQQ,S,CBOE,61753
2014/01/06,QQQ,S,CBOE,41637
2014/01/07,QQQ,S,CBOE,104042
2014/01/08,QQQ,S,CBOE,81340
2014/01/09,QQQ,S,CBOE,61168
2014/01/10,QQQ,S,CBOE,67192
2014/01/13,QQQ,S,CBOE,94330
2014/01/14,QQQ,S,CBOE,97563
2014/01/15,QQQ,S,CBOE,119343
2014/01/16,QQQ,S,CBOE,148191
2014/01/17,QQQ,S,CBOE,87983
2014/01/21,QQQ,S,CBOE,50285
2014/01/22,QQQ,S,CBOE,44467
2014/01/23,QQQ,S,CBOE,76445
2014/01/24,QQQ,S,CBOE,112465
2014/01/27,QQQ,S,CBOE,139828
2014/01/28,QQQ,S,CBOE,91832
2014/01/29,QQQ,S,CBOE,86920
2014/01/30,QQQ,S,CBOE,416805
2014/01/31,QQQ,S,CBOE,174468
2014/02/03,QQQ,S,CBOE,107479
2014/02/04,QQQ,S,CBOE,156898
2014/02/05,QQQ,S,CBOE,172594
2014/02/06,QQQ,S,CBOE,84771
2014/02/07,QQQ,S,CBOE,95880
2014/02/10,QQQ,S,CBOE,72817
2014/02/11,QQQ,S,CBOE,90054
2014/02/12,QQQ,S,CBOE,84103
2014/02/13,QQQ,S,CBOE,104738
2014/02/14,QQQ,S,CBOE,120044
2014/02/18,QQQ,S,CBOE,103704
2014/02/19,QQQ,S,CBOE,82735
2014/02/20,QQQ,S,CBOE,76570
2014/02/21,QQQ,S,CBOE,106496
2014/02/24,QQQ,S,CBOE,102105
2014/02/25,QQQ,S,CBOE,97750
2014/02/26,QQQ,S,CBOE,120729
2014/02/27,QQQ,S,CBOE,79062
2014/02/28,QQQ,S,CBOE,166004
2014/03/03,QQQ,S,CBOE,70753
2014/03/04,QQQ,S,CBOE,81425
2014/03/05,QQQ,S,CBOE,66954
2014/03/06,QQQ,S,CBOE,88969
2014/03/07,QQQ,S,CBOE,108517
2014/03/10,QQQ,S,CBOE,37947
2014/03/11,QQQ,S,CBOE,70616
2014/03/12,QQQ,S,CBOE,82384
2014/03/13,QQQ,S,CBOE,111220
2014/03/14,QQQ,S,CBOE,120456
2014/03/17,QQQ,S,CBOE,49857
2014/03/18,QQQ,S,CBOE,62108
2014/03/19,QQQ,S,CBOE,90170
2014/03/20,QQQ,S,CBOE,98705
2014/03/21,QQQ,S,CBOE,156306
2014/03/24,QQQ,S,CBOE,99117
2014/03/25,QQQ,S,CBOE,56993
2014/03/26,QQQ,S,CBOE,77950
2014/03/27,QQQ,S,CBOE,115395
2014/03/28,QQQ,S,CBOE,116158
2014/03/31,QQQ,S,CBOE,77559
2014/04/01,QQQ,S,CBOE,120741
2014/04/02,QQQ,S,CBOE,64274
2014/04/03,QQQ,S,CBOE,74256
2014/04/04,QQQ,S,CBOE,260355
2014/04/07,QQQ,S,CBOE,157706
2014/04/08,QQQ,S,CBOE,132962
2014/04/09,QQQ,S,CBOE,156196
2014/04/10,QQQ,S,CBOE,246845
2014/04/11,QQQ,S,CBOE,248402
2014/04/14,QQQ,S,CBOE,93231
2014/04/15,QQQ,S,CBOE,191495
2014/04/16,QQQ,S,CBOE,136582
2014/04/17,QQQ,S,CBOE,135576
2014/04/21,QQQ,S,CBOE,98670
2014/04/22,QQQ,S,CBOE,81124
2014/04/23,QQQ,S,CBOE,122846
2014/04/24,QQQ,S,CBOE,145328
2014/04/25,QQQ,S,CBOE,185042
2014/04/28,QQQ,S,CBOE,126754
2014/04/29,QQQ,S,CBOE,89370
2014/04/30,QQQ,S,CBOE,86318
2014/05/01,QQQ,S,CBOE,91979
2014/05/02,QQQ,S,CBOE,112252
2014/05/05,QQQ,S,CBOE,70534
2014/05/06,QQQ,S,CBOE,63628
2014/05/07,QQQ,S,CBOE,139809
2014/05/08,QQQ,S,CBOE,133145
2014/05/09,QQQ,S,CBOE,133165
2014/05/12,QQQ,S,CBOE,111677
2014/05/13,QQQ,S,CBOE,102319
2014/05/14,QQQ,S,CBOE,54182
2014/05/15,QQQ,S,CBOE,124503
2014/05/16,QQQ,S,CBOE,110136
2014/05/19,QQQ,S,CBOE,72179
2014/05/20,QQQ,S,CBOE,74804
2014/05/21,QQQ,S,CBOE,79064
2014/05/22,QQQ,S,CBOE,64357
2014/05/23,QQQ,S,CBOE,62525
2014/05/27,QQQ,S,CBOE,111972
2014/05/28,QQQ,S,CBOE,71506
2014/05/29,QQQ,S,CBOE,67340
2014/05/30,QQQ,S,CBOE,80487
2014/06/02,QQQ,S,CBOE,61048
2014/06/03,QQQ,S,CBOE,45186
2014/06/04,QQQ,S,CBOE,63559
2014/06/05,QQQ,S,CBOE,67086
2014/06/06,QQQ,S,CBOE,75828
2014/06/09,QQQ,S,CBOE,61745
2014/06/10,QQQ,S,CBOE,31588
2014/06/11,QQQ,S,CBOE,57271
2014/06/12,QQQ,S,CBOE,94403
2014/06/13,QQQ,S,CBOE,58455
2014/06/16,QQQ,S,CBOE,54642
2014/06/17,QQQ,S,CBOE,39208
2014/06/18,QQQ,S,CBOE,47720
2014/06/19,QQQ,S,CBOE,67812
2014/06/20,QQQ,S,CBOE,68756
2014/06/23,QQQ,S,CBOE,88267
2014/06/24,QQQ,S,CBOE,103258
2014/06/25,QQQ,S,CBOE,52839
2014/06/26,QQQ,S,CBOE,63332
2014/06/27,QQQ,S,CBOE,52074
2014/06/30,QQQ,S,CBOE,98253
2014/07/01,QQQ,S,CBOE,95575
2014/07/02,QQQ,S,CBOE,37349
2014/07/03,QQQ,S,CBOE,49450
2014/07/07,QQQ,S,CBOE,63561
2014/07/08,QQQ,S,CBOE,155126
2014/07/09,QQQ,S,CBOE,78347
2014/07/10,QQQ,S,CBOE,109142
2014/07/11,QQQ,S,CBOE,89631
2014/07/14,QQQ,S,CBOE,80946
2014/07/15,QQQ,S,CBOE,98337
2014/07/16,QQQ,S,CBOE,47353
2014/07/17,QQQ,S,CBOE,193627
2014/07/18,QQQ,S,CBOE,166437
2014/07/21,QQQ,S,CBOE,68553
2014/07/22,QQQ,S,CBOE,57229
2014/07/23,QQQ,S,CBOE,121275
2014/07/24,QQQ,S,CBOE,65415
2014/07/25,QQQ,S,CBOE,67629
2014/07/28,QQQ,S,CBOE,64994
2014/07/29,QQQ,S,CBOE,66116
2014/07/30,QQQ,S,CBOE,64106
2014/07/31,QQQ,S,CBOE,170128
2014/08/01,QQQ,S,CBOE,119503
2014/08/04,QQQ,S,CBOE,85113
2014/08/05,QQQ,S,CBOE,98978
2014/08/06,QQQ,S,CBOE,61947
2014/08/07,QQQ,S,CBOE,80120
2014/08/08,QQQ,S,CBOE,93185
2014/08/11,QQQ,S,CBOE,67398
2014/08/12,QQQ,S,CBOE,51615
2014/08/13,QQQ,S,CBOE,92165
2014/08/14,QQQ,S,CBOE,96515
2014/08/15,QQQ,S,CBOE,145116
2014/08/18,QQQ,S,CBOE,129399
2014/08/19,QQQ,S,CBOE,71842
2014/08/20,QQQ,S,CBOE,64762
2014/08/21,QQQ,S,CBOE,49584
2014/08/22,QQQ,S,CBOE,67782
2014/08/25,QQQ,S,CBOE,76808
2014/08/26,QQQ,S,CBOE,75687
2014/08/27,QQQ,S,CBOE,73263
2014/08/28,QQQ,S,CBOE,45336
2014/08/29,QQQ,S,CBOE,80018
2014/09/02,QQQ,S,CBOE,65623
2014/09/03,QQQ,S,CBOE,102203
2014/09/04,QQQ,S,CBOE,79464
2014/09/05,QQQ,S,CBOE,71737
2014/09/08,QQQ,S,CBOE,114285
2014/09/09,QQQ,S,CBOE,139903
2014/09/10,QQQ,S,CBOE,126423
2014/09/11,QQQ,S,CBOE,120266
2014/09/12,QQQ,S,CBOE,94013
2014/09/15,QQQ,S,CBOE,134950
2014/09/16,QQQ,S,CBOE,96752
2014/09/17,QQQ,S,CBOE,96400
2014/09/18,QQQ,S,CBOE,108777
2014/09/19,QQQ,S,CBOE,124598
2014/09/22,QQQ,S,CBOE,114466
2014/09/23,QQQ,S,CBOE,75385
2014/09/24,QQQ,S,CBOE,112710
2014/09/25,QQQ,S,CBOE,150392
2014/09/26,QQQ,S,CBOE,106738
2014/09/29,QQQ,S,CBOE,81792
2014/09/30,QQQ,S,CBOE,103611
2014/10/01,QQQ,S,CBOE,132083
2014/10/02,QQQ,S,CBOE,165203
2014/10/03,QQQ,S,CBOE,118983
2014/10/06,QQQ,S,CBOE,107058
2014/10/07,QQQ,S,CBOE,110372
2014/10/08,QQQ,S,CBOE,169984
2014/10/09,QQQ,S,CBOE,256822
2014/10/10,QQQ,S,CBOE,343353
2014/10/13,QQQ,S,CBOE,155192
2014/10/14,QQQ,S,CBOE,152027
2014/10/15,QQQ,S,CBOE,255474
2014/10/16,QQQ,S,CBOE,188272
2014/10/17,QQQ,S,CBOE,184029
2014/10/20,QQQ,S,CBOE,90627
2014/10/21,QQQ,S,CBOE,283316
2014/10/22,QQQ,S,CBOE,141053
2014/10/23,QQQ,S,CBOE,160582
2014/10/24,QQQ,S,CBOE,100782
2014/10/27,QQQ,S,CBOE,78575
2014/10/28,QQQ,S,CBOE,110749
2014/10/29,QQQ,S,CBOE,101313
2014/10/30,QQQ,S,CBOE,74414
2014/10/31,QQQ,S,CBOE,137484
2014/11/03,QQQ,S,CBOE,72383
2014/11/04,QQQ,S,CBOE,73825
2014/11/05,QQQ,S,CBOE,54326
2014/11/06,QQQ,S,CBOE,89482
2014/11/07,QQQ,S,CBOE,68240
2014/11/10,QQQ,S,CBOE,64766
2014/11/11,QQQ,S,CBOE,55260
2014/11/12,QQQ,S,CBOE,69507
2014/11/13,QQQ,S,CBOE,80611
2014/11/14,QQQ,S,CBOE,103727
2014/11/17,QQQ,S,CBOE,69447
2014/11/18,QQQ,S,CBOE,76833
2014/11/19,QQQ,S,CBOE,50960
2014/11/20,QQQ,S,CBOE,83239
2014/11/21,QQQ,S,CBOE,132576
2014/11/24,QQQ,S,CBOE,64153
2014/11/25,QQQ,S,CBOE,57108
2014/11/26,QQQ,S,CBOE,48909
2014/11/28,QQQ,S,CBOE,54282
2014/12/01,QQQ,S,CBOE,101640
2014/12/02,QQQ,S,CBOE,60262
2014/12/03,QQQ,S,CBOE,39326
2014/12/04,QQQ,S,CBOE,72538
2014/12/05,QQQ,S,CBOE,76397
2014/12/08,QQQ,S,CBOE,117476
2014/12/09,QQQ,S,CBOE,94955
2014/12/10,QQQ,S,CBOE,123678
2014/12/11,QQQ,S,CBOE,131784
